,type,Bathrooms,rooms_available,Electricity,Internet,cluster
419,3,0.25,0.5384615384615385,0,0,0
420,1,0.0,0.0,0,0,2
421,3,0.125,0.3076923076923077,0,0,0
422,1,0.0,0.0,0,0,2
423,2,0.0,0.0,0,0,2
424,1,0.0,0.0,0,0,2
425,3,0.0,0.38461538461538464,0,0,0
426,3,0.0,0.23076923076923078,0,0,0
427,3,0.25,0.38461538461538464,0,0,0
428,3,0.125,0.3076923076923077,0,0,0
429,2,0.0,0.07692307692307693,0,0,2
430,1,0.0,0.0,0,0,2
431,1,0.0,0.0,0,0,2
432,2,0.0,0.07692307692307693,0,0,2
433,2,0.0,0.07692307692307693,0,0,2
434,2,0.0,0.07692307692307693,0,0,2
435,3,0.125,0.15384615384615385,0,0,0
436,3,0.0,0.38461538461538464,0,0,0
437,3,0.0,0.15384615384615385,1,1,1
438,3,0.0,0.23076923076923078,1,1,1
439,3,0.125,0.23076923076923078,1,1,1
440,3,0.0,0.15384615384615385,1,1,1
441,3,0.25,0.38461538461538464,0,1,1
443,3,0.25,0.7692307692307694,1,1,1
444,3,0.25,0.6923076923076923,1,1,1
445,3,0.25,0.23076923076923078,1,1,1
446,3,0.125,0.23076923076923078,1,1,1
447,3,0.125,0.15384615384615385,1,1,1
448,3,0.25,0.4615384615384616,0,0,0
449,2,0.25,0.15384615384615385,1,1,3
450,2,0.125,0.07692307692307693,1,1,3
452,2,0.125,0.07692307692307693,1,1,3
454,3,0.125,0.3076923076923077,1,1,1
456,3,0.0,0.0,0,0,0
457,1,0.0,0.0,0,0,2
458,2,0.25,0.15384615384615385,0,0,2
459,3,0.125,0.23076923076923078,0,0,0
460,3,0.0,0.15384615384615385,0,0,0
462,3,0.125,0.3076923076923077,0,0,0
463,3,0.125,0.38461538461538464,0,0,0
464,3,0.125,0.5384615384615385,0,0,0
465,3,0.0,0.07692307692307693,1,1,1
466,3,0.0,0.23076923076923078,1,1,1
467,3,0.0,0.23076923076923078,1,1,1
468,3,0.125,0.38461538461538464,1,1,1
470,3,0.125,0.3076923076923077,1,1,1
471,3,0.125,0.38461538461538464,1,1,1
472,3,0.125,0.3076923076923077,1,1,1
473,3,0.125,0.38461538461538464,1,1,1
